rowid,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
1,Adelie,Torgersen,39.1,18.7,181.0,3750.0,male,2007
2,Adelie,Torgersen,39.5,17.4,186.0,3800.0,female,2007
3,Adelie,Torgersen,40.3,18.0,195.0,3250.0,female,2007
4,Adelie,Torgersen,,,,,,2007
5,Adelie,Torgersen,36.7,19.3,193.0,3450.0,female,2007
6,Adelie,Torgersen,39.3,20.6,190.0,3650.0,male,2007
7,Adelie,Torgersen,38.9,17.8,181.0,3625.0,female,2007
8,Adelie,Torgersen,39.2,19.6,195.0,4675.0,male,2007
9,Adelie,Torgersen,34.1,18.1,193.0,3475.0,,2007
10,Adelie,Torgersen,42.0,20.2,190.0,4250.0,,2007
11,Adelie,Torgersen,37.8,17.1,186.0,3300.0,,2007
12,Adelie,Torgersen,37.8,17.3,180.0,3700.0,,2007
13,Adelie,Torgersen,41.1,17.6,182.0,3200.0,female,2007
14,Adelie,Torgersen,38.6,21.2,191.0,3800.0,male,2007
15,Adelie,Torgersen,34.6,21.1,198.0,4400.0,male,2007
16,Adelie,Torgersen,36.6,17.8,185.0,3700.0,female,2007
17,Adelie,Torgersen,38.7,19.0,195.0,3450.0,female,2007
18,Adelie,Torgersen,42.5,20.7,197.0,4500.0,male,2007
19,Adelie,Torgersen,34.4,18.4,184.0,3325.0,female,2007
20,Adelie,Torgersen,46.0,21.5,194.0,4200.0,male,2007
21,Adelie,Biscoe,37.8,18.3,174.0,3400.0,female,2007
22,Adelie,Biscoe,37.7,18.7,180.0,3600.0,male,2007
23,Adelie,Biscoe,35.9,19.2,189.0,3800.0,female,2007
24,Adelie,Biscoe,38.2,18.1,185.0,3950.0,male,2007
25,Adelie,Biscoe,38.8,17.2,180.0,3800.0,male,2007
26,Adelie,Biscoe,35.3,18.9,187.0,3800.0,female,2007
37,Adelie,Dream,38.8,20.0,190.0,3950.0,male,2007
38,Adelie,Dream,42.2,18.5,180.0,3550.0,female,2007
39,Adelie,Dream,37.6,19.3,181.0,3300.0,female,2007
40,Adelie,Dream,39.8,19.1,184.0,4650.0,male,2007
41,Adelie,Dream,36.5,18.0,182.0,3150.0,female,2007
42,Adelie,Dream,40.8,18.4,195.0,3900.0,male,2007
43,Adelie,Dream,36.0,18.5,186.0,3100.0,female,2007
44,Adelie,Dream,44.1,19.7,196.0,4400.0,male,2007
45,Adelie,Dream,37.0,16.9,185.0,3000.0,female,2007
46,Adelie,Dream,39.6,18.8,190.0,4600.0,male,2007
47,Adelie,Dream,41.1,19.0,182.0,3425.0,male,2007
48,Adelie,Dream,37.5,18.9,179.0,2975.0,,2007
49,Adelie,Dream,36.0,17.9,190.0,3450.0,female,2007
50,Adelie,Dream,42.3,21.2,191.0,4150.0,male,2007
51,Adelie,Biscoe,39.6,17.7,186.0,3500.0,female,2008
52,Adelie,Biscoe,40.1,18.9,188.0,4300.0,male,2008
53,Adelie,Biscoe,35.0,17.9,190.0,3450.0,female,2008
54,Adelie,Biscoe,42.0,19.5,200.0,4050.0,male,2008
55,Adelie,Biscoe,34.5,18.1,187.0,2900.0,female,2008
56,Adelie,Biscoe,41.4,18.6,191.0,3700.0,male,2008
57,Adelie,Biscoe,39.0,17.5,186.0,3550.0,female,2008
58,Adelie,Biscoe,40.6,18.8,193.0,3800.0,male,2008
59,Adelie,Biscoe,36.5,16.6,181.0,2850.0,female,2008
60,Adelie,Biscoe,37.6,19.1,194.0,3750.0,male,2008
61,Adelie,Biscoe,35.7,16.9,185.0,3150.0,female,2008
62,Adelie,Biscoe,41.3,21.1,195.0,4400.0,male,2008
63,Adelie,Biscoe,37.6,17.0,185.0,3600.0,female,2008
64,Adelie,Biscoe,41.1,18.2,192.0,4050.0,male,2008
65,Adelie,Biscoe,36.4,17.1,184.0,2850.0,female,2008
66,Adelie,Biscoe,41.6,18.0,192.0,3950.0,male,2008
67,Adelie,Biscoe,35.5,16.2,195.0,3350.0,female,2008
68,Adelie,Biscoe,41.1,19.1,188.0,4100.0,male,2008
69,Adelie,Torgersen,35.9,16.6,190.0,3050.0,female,2008
70,Adelie,Torgersen,41.8,19.4,198.0,4450.0,male,2008
71,Adelie,Torgersen,33.5,19.0,190.0,3600.0,female,2008
72,Adelie,Torgersen,39.7,18.4,190.0,3900.0,male,2008
73,Adelie,Torgersen,39.6,17.2,196.0,3550.0,female,2008
74,Adelie,Torgersen,45.8,18.9,197.0,4150.0,male,2008
75,Adelie,Torgersen,35.5,17.5,190.0,3700.0,female,2008
76,Adelie,Torgersen,42.8,18.5,195.0,4250.0,male,2008
77,Adelie,Torgersen,40.9,16.8,191.0,3700.0,female,2008
78,Adelie,Torgersen,37.2,19.4,184.0,3900.0,male,2008
79,Adelie,Torgersen,36.2,16.1,187.0,3550.0,female,2008
80,Adelie,Torgersen,42.1,19.1,195.0,4000.0,male,2008
81,Adelie,Torgersen,34.6,17.2,189.0,3200.0,female,2008
82,Adelie,Torgersen,42.9,17.6,196.0,4700.0,male,2008
83,Adelie,Torgersen,36.7,18.8,187.0,3800.0,female,2008
84,Adelie,Torgersen,35.1,19.4,193.0,4200.0,male,2008
85,Adelie,Dream,37.3,17.8,191.0,3350.0,female,2008
86,Adelie,Dream,41.3,20.3,194.0,3550.0,male,2008
87,Adelie,Dream,36.3,19.5,190.0,3800.0,male,2008
88,Adelie,Dream,36.9,18.6,189.0,3500.0,female,2008
89,Adelie,Dream,38.3,19.2,189.0,3950.0,male,2008
90,Adelie,Dream,38.9,18.8,190.0,3600.0,female,2008
91,Adelie,Dream,35.7,18.0,202.0,3550.0,female,2008
92,Adelie,Dream,41.1,18.1,205.0,4300.0,male,2008
93,Adelie,Dream,34.0,17.1,185.0,3400.0,female,2008
94,Adelie,Dream,39.6,18.1,186.0,4450.0,male,2008
95,Adelie,Dream,36.2,17.3,187.0,3300.0,female,2008
96,Adelie,Dream,40.8,18.9,208.0,4300.0,male,2008
97,Adelie,Dream,38.1,18.6,190.0,3700.0,female,2008
98,Adelie,Dream,40.3,18.5,196.0,4350.0,male,2008
99,Adelie,Dream,33.1,16.1,178.0,2900.0,female,2008
100,Adelie,Dream,43.2,18.5,192.0,4100.0,male,2008
101,Adelie,Biscoe,35.0,17.9,192.0,3725.0,female,2009
102,Adelie,Biscoe,41.0,20.0,203.0,4725.0,male,2009
103,Adelie,Biscoe,37.7,16.0,183.0,3075.0,female,2009
104,Adelie,Biscoe,37.8,20.0,190.0,4250.0,male,2009
105,Adelie,Biscoe,37.9,18.6,193.0,2925.0,female,2009
106,Adelie,Biscoe,39.7,18.9,184.0,3550.0,male,2009
107,Adelie,Biscoe,38.6,17.2,199.0,3750.0,female,2009
108,Adelie,Biscoe,38.2,20.0,190.0,3900.0,male,2009
109,Adelie,Biscoe,38.1,17.0,181.0,3175.0,female,2009
110,Adelie,Biscoe,43.2,19.0,197.0,4775.0,male,2009
111,Adelie,Biscoe,38.1,16.5,198.0,3825.0,female,2009
112,Adelie,Biscoe,45.6,20.3,191.0,4600.0,male,2009
113,Adelie,Biscoe,39.7,17.7,193.0,3200.0,female,2009
114,Adelie,Biscoe,42.2,19.5,197.0,4275.0,male,2009
115,Adelie,Biscoe,39.6,20.7,191.0,3900.0,female,2009
116,Adelie,Biscoe,42.7,18.3,196.0,4075.0,male,2009
117,Adelie,Torgersen,38.6,17.0,188.0,2900.0,female,2009
118,Adelie,Torgersen,37.3,20.5,199.0,3775.0,male,2009
119,Adelie,Torgersen,35.7,17.0,189.0,3350.0,female,2009
120,Adelie,Torgersen,41.1,18.6,189.0,3325.0,male,2009
121,Adelie,Torgersen,36.2,17.2,187.0,3150.0,female,2009
122,Adelie,Torgersen,37.7,19.8,198.0,3500.0,male,2009
123,Adelie,Torgersen,40.2,17.0,176.0,3450.0,female,2009
124,Adelie,Torgersen,41.4,18.5,202.0,3875.0,male,2009
125,Adelie,Torgersen,35.2,15.9,186.0,3050.0,female,2009
126,Adelie,Torgersen,40.6,19.0,199.0,4000.0,male,2009
127,Adelie,Torgersen,38.8,17.6,191.0,3275.0,female,2009
128,Adelie,Torgersen,41.5,18.3,195.0,4300.0,male,2009
129,Adelie,Torgersen,39.0,17.1,191.0,3050.0,female,2009
130,Adelie,Torgersen,44.1,18.0,210.0,4000.0,male,2009
131,Adelie,Torgersen,38.5,17.9,190.0,3325.0,female,2009
